"Rubtsovsk",51.53,81.2
"Ryazan",54.620000000000005,39.74
"Rybinsk",58.050000000000004,38.83
"Saint Petersburg",59.93,30.32
"Salavat",53.370000000000005,55.92
"Samara",53.2,50.15
"Saransk",54.18,45.18
"Saratov",51.57,46.03
"Sergiyev Posad",56.32,38.13
"Serpukhov",54.92,37.410000000000004
"Severodvinsk",64.57000000000001,39.83
"Seversk",56.61,84.83
"Shakhty",47.71,40.21
"Shchyolkovo",55.9,38.02
"Smolensk",54.78,32.04
"Sochi",43.6,39.730000000000004
"Staryy Oskol",51.300000000000004,37.84
"Stavropol",45.04,41.97
"Sterlitamak",53.63,55.95
"Surgut",61.25,73.42
"Syktyvkar",61.67,50.81
"Syzran",53.17,48.47
"Taganrog",47.22,38.910000000000004
"Tambov",52.730000000000004,41.43
"Tobolsk",58.2,68.27
"Tolyatti",53.480000000000004,49.51
"Tomsk",56.5,84.97
"Tula",54.2,37.61
"Tver",56.86,35.89
"Tyumen",57.15,65.53
"Ufa",54.78,56.04
"Ulan‐Ude",51.83,107.62
"Ulyanovsk",54.33,48.4
"Ussuriysk",43.800000000000004,132.01
"Velikie Luki",56.34,30.53
"Velikiy Novgorod",58.52,31.28
"Vladikavkaz",43.04,44.68
"Vladimir",56.14,40.4
"Vladivostok",43.13,131.9
"Volgodonsk",47.51,42.15
"Volgograd",48.71,44.480000000000004
"Vologda",59.22,39.9
"Volzhskiy",48.79,44.77
"Voronezh",51.72,39.26
"Yakutsk",62.03,129.73
"Yaroslavl",57.620000000000005,39.87
"Yekaterinburg",56.85,60.6
"Yelets",52.6,38.51
"Yoshkar‐Ola",56.64,47.870000000000005
"Yuzhno‐Sakhalinsk",46.95,142.74
"Zelenograd",55.94,37.29
"Zheleznodorozhnyy",55.75,38.0167
"Zhukovskiy",55.550000000000004,38.25
"Zlatoust",55.17,59.65
